lab_proj_name,submit_proj_name,user_pedon_id,natural_key,lay_field_label1,lay_field_label2,lay_field_label3,lay_depth_to_top,lay_depth_to_bottom,horizon_designation,texture_description,Clod,Core,Compliant Cavity,ars_bd,Confined_Core,Soil,Comparison,MGMT,DSP_Plot_ID,DSP_Pedon_ID,Crop,Agron_Feature
C2012USSD084,SD DSP 2012,S2012SD095001,12N03861,S2012SD095001-1,NA,NA,0,2,Ap,Silt loam,NA,0.66997765,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03862,S2012SD095001-2,NA,NA,2,5,Ap,Silt loam,NA,1.33223684,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03863,S2012SD095001-3,NA,NA,5,16,Ap,Silt loam,NA,1.08810086,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03864,S2012SD095001-4,NA,NA,16,23,BA,Silty clay loam,NA,1.1322377,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03865,S2012SD095001-5,NA,NA,23,36,Bt,Silty clay loam,NA,1.12400914,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03866,S2012SD095001-6,NA,NA,36,73,BC,Silt loam,NA,NA,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03867,S2012SD095001-7,NA,NA,73,123,BCk1,Silt loam,NA,NA,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095001,12N03868,S2012SD095001-8,NA,NA,123,152,BCk2,Silty clay loam,NA,NA,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,1,Oats,NA
C2012USSD084,SD DSP 2012,S2012SD095002,12N03869,S2012SD095002-1,NA,NA,0,2,Ap,Silt loam,NA,0.97981673,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,2,NA,NA
C2012USSD084,SD DSP 2012,S2012SD095002,12N03870,S2012SD095002-2,NA,NA,2,5,Ap,Silt loam,NA,0.92105263,NA,NA,NA,Kube,Conventional Tillage,CT,CT1,2,NA,NA
